"No","Player ID","Player Name","MLB ID","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","Release Extension (ft)","VB (trajectory)","HB (trajectory)","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Gyro Degree (deg)","Unique ID","Device Serial Number"
45,934057,"Brett Dunham","-","Thu Sep 22 2022 3:32:39 PM",1663860759,"CurveBall","NO","-19.94","17.39",75.25,2430,1805,74.3,"07:34",0.9,1.87613487,"-12.13","-18.95","-12.1","-14.2","-2.10","1.54","4.60","1.86","42.03","934057@1663860759","RBB20XBNR56R"
46,934057,"Brett Dunham","-","Thu Sep 22 2022 3:33:04 PM",1663860784,"Slider","YES","-4.61","30.62",76.57,2447.5,1095.8,44.8,"07:44",0.9,2.10809135,"-6.19","-12.58","-6.2","-9.4","-1.39","1.78","4.55","1.93","63.40","934057@1663860784","RBB20XBNR56R"
47,934057,"Brett Dunham","-","Thu Sep 22 2022 3:33:27 PM",1663860807,"Slider","YES","3.55","32.25",76.02,2430.7,1326.9,54.6,"07:54",0.8,1.93871117,"-6.66","-17.60","-6.7","-12.1","-0.22","2.17","4.47","1.97","56.91","934057@1663860807","RBB20XBNR56R"
48,934057,"Brett Dunham","-","Thu Sep 22 2022 3:33:45 PM",1663860825,"TwoSeamFastball","NO","-17.52","20.68",87.19,2037.2,2027.3,99.5,"01:50",0.9,2.070654,"11.67","20.12","11.7","17.0","-5.70","-1.23","4.78","2.06","5.64","934057@1663860825","RBB20XBNR56R"
49,934057,"Brett Dunham","-","Thu Sep 22 2022 3:34:02 PM",1663860842,"TwoSeamFastball","NO","10.74","38.67",85.34,1976.1,1975.8,100,"01:56",0.9,2.099596,"10.67","20.62","10.7","17.4","-3.25","0.43","4.62","2.14","1.05","934057@1663860842","RBB20XBNR56R"
50,934057,"Brett Dunham","-","Thu Sep 22 2022 3:34:31 PM",1663860871,"ChangeUp","YES","6.36","32.90",79.96,1619.3,1597.3,98.6,"02:12",0.8,1.99776077,"7.99","19.59","8.0","17.6","-3.71","-0.12","4.57","2.30","-9.44","934057@1663860871","RBB20XBNR56R"
51,934057,"Brett Dunham","-","Thu Sep 22 2022 3:34:59 PM",1663860899,"Fastball","NO","-8.27","59.72",84.24,2084.4,2046,98.2,"01:54",0.8,1.937048,"11.58","21.20","11.6","17.6","-4.94","1.42","4.84","2.09","11.01","934057@1663860899","RBB20XBNR56R"
52,934057,"Brett Dunham","-","Thu Sep 22 2022 3:35:12 PM",1663860912,"Fastball","NO","-11.94","43.16",84.99,1959.4,1958.5,100,"01:56",0.9,2.04739571,"10.82","20.43","10.8","17.6","-5.10","1.01","4.74","1.96","1.76","934057@1663860912","RBB20XBNR56R"
53,934057,"Brett Dunham","-","Wed Sep 28 2022 12:39:40 PM",1664368780,"Fastball","NO","11.44","28.71",85.64,1923.5,1918.6,99.7,"01:58",0.9,2.10732651,"10.33","19.05","10.3","17.1","-2.92","0.05","4.67","2.03","4.10","934057@1664368780","RBB20XBNR56R"
54,934057,"Brett Dunham","-","Wed Sep 28 2022 12:39:53 PM",1664368793,"Fastball","YES","5.23","34.00",86.07,1930,1921.5,99.6,"01:48",0.8,1.99690819,"12.02","21.32","12.0","16.4","-3.58","0.61","4.68","1.94","5.38","934057@1664368793","RBB20XBNR56R"
